;store ;date;Temperature;Fuel_Price;CPI;Unemployment;IsHoliday;Weekly Sales
0;1.0;2010-02-05;42.31;2.572;211.0963582;8.106;0.0;1643690.9
1;1.0;2010-02-12;38.51;2.548;211.24216980000003;8.106;1.0;1641957.4399999997
2;1.0;2010-02-19;39.93;2.514;211.2891429;8.106;0.0;1611968.17
3;1.0;2010-02-26;46.63;2.5610000000000004;211.3196429;8.106;0.0;1409727.5900000003
4;1.0;2010-03-05;46.5;2.625;211.3501429;8.106;0.0;1554806.68
5;1.0;2010-03-12;57.79;2.667;211.3806429;8.106;0.0;1439541.5900000003
6;1.0;2010-03-19;54.58;2.72;211.215635;8.106;0.0;1472515.7899999996
7;1.0;2010-03-26;51.45;2.732;211.0180424;8.106;0.0;1404429.9200000004
8;1.0;2010-04-02;62.27;2.719;210.8204499;7.808;0.0;1594968.2799999998
9;1.0;2010-04-09;65.86;2.77;210.6228574;7.808;0.0;1545418.5300000003
10;1.0;2010-04-16;66.32;2.8080000000000003;210.4887;7.808;0.0;1466058.28
11;1.0;2010-04-23;64.84;2.795;210.4391228;7.808;0.0;1391256.12
12;1.0;2010-04-30;67.41;2.78;210.3895456;7.808;0.0;1425100.7100000004
13;1.0;2010-05-07;72.55;2.835;210.3399684;7.808;0.0;1603955.1200000003
14;1.0;2010-05-14;74.78;2.854;210.3374261;7.808;0.0;1494251.5000000002
15;1.0;2010-05-21;76.44;2.826;210.6170934;7.808;0.0;1399662.0700000005
16;1.0;2010-05-28;80.44;2.759;210.8967606;7.808;0.0;1432069.9500000004
17;1.0;2010-06-04;80.69;2.705;211.1764278;7.808;0.0;1615524.71
18;1.0;2010-06-11;80.43;2.668;211.4560951;7.808;0.0;1542561.09
19;1.0;2010-06-18;84.11;2.637;211.4537719;7.808;0.0;1503284.0599999996
20;1.0;2010-06-25;84.34;2.653;211.3386526;7.808;0.0;1422711.5999999996
21;1.0;2010-07-02;80.91;2.669;211.2235333;7.787000000000001;0.0;1492418.1399999997
22;1.0;2010-07-09;80.48;2.642;211.108414;7.787000000000001;0.0;1546074.1799999997
23;1.0;2010-07-16;83.15;2.623;211.1003854;7.787000000000001;0.0;1448938.9200000004
24;1.0;2010-07-23;83.36;2.608;211.2351443;7.787000000000001;0.0;1385065.2000000004
25;1.0;2010-07-30;81.84;2.64;211.36990319999995;7.787000000000001;0.0;1371986.6
26;1.0;2010-08-06;87.16;2.627;211.5046621;7.787000000000001;0.0;1605491.7799999998
27;1.0;2010-08-13;87.0;2.692;211.6394211;7.787000000000001;0.0;1508237.7600000002
28;1.0;2010-08-20;86.65;2.664;211.6033633;7.787000000000001;0.0;1513080.49
29;1.0;2010-08-27;85.22;2.619;211.5673056;7.787000000000001;0.0;1449142.9200000004
30;1.0;2010-09-03;81.21;2.577;211.53124790000004;7.787000000000001;0.0;1540163.53
31;1.0;2010-09-10;78.69;2.565;211.4951902;7.787000000000001;1.0;1507460.6900000004
32;1.0;2010-09-17;82.11;2.582;211.5224596;7.787000000000001;0.0;1430378.67
33;1.0;2010-09-24;80.94;2.624;211.5972246;7.787000000000001;0.0;1351791.03
34;1.0;2010-10-01;71.89;2.603;211.6719895;7.837999999999999;0.0;1453329.4999999998
35;1.0;2010-10-08;63.93;2.633;211.7467544;7.837999999999999;0.0;1508239.93
36;1.0;2010-10-15;67.18;2.72;211.8137436;7.837999999999999;0.0;1459409.0999999996
37;1.0;2010-10-22;69.86;2.725;211.8612937;7.837999999999999;0.0;1345454.0
38;1.0;2010-10-29;69.64;2.716;211.9088438;7.837999999999999;0.0;1384209.2200000002
39;1.0;2010-11-05;58.74;2.689;211.9563939;7.837999999999999;0.0;1551659.279999999
40;1.0;2010-11-12;59.61;2.728;212.003944;7.837999999999999;0.0;1494479.4899999998
41;1.0;2010-11-19;51.41;2.7710000000000004;211.8896737;7.837999999999999;0.0;1483784.1800000006
42;1.0;2010-11-26;64.52;2.735;211.7484333;7.837999999999999;1.0;1955624.11
43;1.0;2010-12-03;49.27;2.708;211.607193;7.837999999999999;0.0;1548033.779999999
44;1.0;2010-12-10;46.33;2.843;211.4659526;7.837999999999999;0.0;1682614.26
45;1.0;2010-12-17;49.84;2.869;211.4053124;7.837999999999999;0.0;1891034.929999999
46;1.0;2010-12-24;52.33;2.886;211.4051222;7.837999999999999;0.0;2387950.2
47;1.0;2010-12-31;48.43;2.943;211.4049321;7.837999999999999;1.0;1367320.0099999998
48;1.0;2011-01-07;48.27;2.9760000000000004;211.40474190000003;7.742000000000001;0.0;1444732.2799999998
49;1.0;2011-01-14;35.4;2.983;211.4574109;7.742000000000001;0.0;1391013.9599999995
50;1.0;2011-01-21;44.04;3.016;211.82723430000004;7.742000000000001;0.0;1327405.4200000002
51;1.0;2011-01-28;43.83;3.01;212.1970577;7.742000000000001;0.0;1316899.31
52;1.0;2011-02-04;;2.989;212.5668812;7.742000000000001;0.0;1606629.5799999996
53;1.0;2011-02-11;36.39;3.022;212.9367046;7.742000000000001;1.0;1649614.9300000004
54;1.0;2011-02-18;57.36;3.045;213.2478853;7.742000000000001;0.0;1686842.7799999998
55;1.0;2011-02-25;62.9;3.065;213.535609;7.742000000000001;0.0;1456800.2799999998
56;1.0;2011-03-04;59.58;3.2880000000000003;213.8233327;7.742000000000001;0.0;1636263.41
57;1.0;2011-03-11;53.56;3.459;214.1110564;7.742000000000001;0.0;1553191.63
58;1.0;2011-03-18;62.76;3.488;214.3627114;7.742000000000001;0.0;1576818.0599999996
59;1.0;2011-03-25;69.97;3.4730000000000003;214.5999389;7.742000000000001;0.0;1541102.38
60;1.0;2011-04-01;59.17;3.524;214.8371664;7.682;0.0;1495064.75
61;1.0;2011-04-08;67.84;3.622;215.0743939;7.682;0.0;1614259.3500000006
62;1.0;2011-04-15;71.27;3.743;215.2918561;7.682;0.0;1559888.9999999998
63;1.0;2011-04-22;72.99;3.807;215.45990530000003;7.682;0.0;1564819.81
64;1.0;2011-04-29;72.03;3.81;215.6279544;7.682;0.0;1455090.6899999997
65;1.0;2011-05-06;64.61;3.906;215.7960035;7.682;0.0;1629391.2800000003
66;1.0;2011-05-13;75.64;3.899;215.9640526;7.682;0.0;1604775.58
67;1.0;2011-05-20;67.63;3.907;215.7339202;7.682;0.0;1428218.2699999998
68;1.0;2011-05-27;77.72;3.786;215.5037878;7.682;0.0;1466046.6699999997
69;1.0;2011-06-03;83.0;3.699;215.27365530000003;7.682;0.0;1635078.4100000004
70;1.0;2011-06-10;83.13;3.648;215.04352290000003;7.682;0.0;1588948.3199999996
